year,,workweek capital,capacity util,industrial prod
1972,,,83.3,36.0
1973,,,87.8,39.3
1974,,97.1,84.5,39.2
1975,,99.3,73.5,35.0
1976,,101.0,78.4,38.3
1977,,104.1,82.4,41.6
1978,,104.7,84.4,44.1
1979,,109.3,84.0,45.5
1980,,106.4,78.4,43.8
1981,,106.2,76.6,44.2
1982,,102.3,70.3,41.7
1983,,104.8,72.9,43.8
1984,,108.7,78.9,48.1
1985,,109.2,77.6,48.9
1986,,107.2,78.0,50.0
1987,,111.3,80.6,52.8
1988,,110.7,83.8,55.8
1989,,110.6,83.2,56.3
1990,,109.3,81.6,56.8
1991,,112.4,78.4,55.7
1992,,112.7,79.6,57.9
1993,,115.2,80.4,60.0
1994,,116.9,82.9,63.8
1995,,111.3,83.1,67.3
1996,,111.3,82.2,70.7
1997,,113.8,82.8,76.7
1998,value imputed,115.6,81.2,81.8
1999,,117.4,80.1,86.0
2000,,113.4,79.2,89.8
2001,,111.3,73.2,86.3
2002,,111.2,72.5,86.7
2003,,114.8,73.5,88.0
2004,,111.7,75.9,90.6
2005,,,78.0,94.4
2006,,,78.4,97.0
2007,,,78.8,100.0
2008,,,74.5,95.4
2009,,,65.4,82.4
2010,,,71.3,87.9
2011,,,74.3,91.1
2012,,,76.0,95.1
2013,,,76.7,97.9
